Acc,Center_Names
SRR11609212,CHILDREN HOSPITAL OF GUANGXI ZHUANG AUTONOMOUS REGION
SRR10566897,AUSTRALIAN INSTITUTE OF TROPICAL HEALTH AND MEDICINE
SRR10581381,UNIVERSITY OF OTTAWA
SRR11881309,"CALIFORNIA STATE UNIVERSITY, FULLERTON"
SRR10018586,CFSAN
SRR11802022,INSTITUT PASTEUR DE MONTEVIDEO
SRR11005721,UNIVERSITE DE MONTREAL - IRBV
SRR015631,BI
SRR11423752,CHILDREN'S HOSPITAL OF CHONGQING MEDICAL UNIVERSITY
SRR10206177,UNIVERSITY OF SASKATCHEWAN
SRR11362853,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT)
SRR11478637,SOUTH VALLEY UNIVERSITY
ERR3522239,FISABIO - PUBLIC HEALTH
SRR10260952,UNIVERSITE DE SHERBROOKE
SRR10406092,AUSTRALIAN INSTITUTE OF MARINE SCIENCE
SRR8674648,UNIVERSITY OF TORONTO MISSISSAUGA
SRR8606903,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES
SRR10202400,CHILDREN'S HOSPITAL OF FUDAN UNIVERSITY
ERR3347078,UMR 1232
SRR11569109,NATIONAL VETERINARY INSTITUTE
SRR11035393,INSTITUT PASTEUR DE LA GUADELOUPE
SRR10738145,ADDIS ABABA UNIVERSITY
SRR8186487,INSTITUT PASTEUR OF SHANGHAI
SRR9158324,CALIFORNIA STATE UNIVERSITY FULLERTON
SRR4409160,"NATIONAL CANCER CENTER/CANCER HOSPITAL, CHINESE ACADEMY OF MEDICAL SCIENCES "
SRR10989484,UNIVERSITY OF NEW BRUNSWICK
SRR10120332,UNIVERSITE DU QUEBEC A TROIS-RIVIERES
ERR006603,CU
SRR10293930,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES"
SRR11788653,CLARK UNIVERSITY
SRR8088667,CHINA ACADMY OF SCIENCES
SRR10843708,SUEZ CANAL UNIVERSITY
SRR8132838,123
SRR11219010,CHILDREN HOSPITAL OF CHONGQING MEDICAL UNIVERSITY
SRR8665997,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE"
SRR12147237,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES
